from,to,distance
120022,711811,1907.0
711811,120022,1907.0
120022,711812,1907.0
711812,120022,1907.0
120023,120023,0.0
120023,120051,27.4
120051,120023,27.4
120023,120081,30.2
120081,120023,30.2
120023,120111,0.0
120111,120023,0.0
120023,120112,0.0
120112,120023,0.0
120023,120113,0.0
120113,120023,0.0
120023,134021,719.7
134021,120023,719.7
120023,134031,719.7
134031,120023,719.7
120023,134041,702.3
134041,120023,702.3
120023,134051,702.3
134051,120023,702.3
120023,134081,702.3
134081,120023,702.3
120023,134111,719.7
134111,120023,719.7
120023,134112,719.7
134112,120023,719.7
120023,140031,1238.0
140031,120023,1238.0
120023,140041,1222.5
140041,120023,1222.5
120023,140051,1222.5
140051,120023,1222.5
120023,140111,1255.6
140111,120023,1255.6
120023,140121,1255.6
140121,120023,1255.6
120023,159051,1924.8
159051,120023,1924.8
120023,159052,1924.8
159052,120023,1924.8
120023,159082,1924.8
159082,120023,1924.8
120023,159111,1970.5
159111,120023,1970.5
120023,159112,1970.5
159112,120023,1970.5
120023,159651,1882.8
159651,120023,1882.8
120023,159652,1882.8
159652,120023,1882.8
120023,159711,1924.8
159711,120023,1924.8
120023,159712,1882.8
159712,120023,1882.8
120023,159713,1933.9
159713,120023,1933.9
120023,405021,423.7
405021,120023,423.7
120023,405022,423.7
405022,120023,423.7
120023,405031,416.1
405031,120023,416.1
120023,405032,416.1
405032,120023,416.1
120023,405041,362.3
405041,120023,362.3
120023,405051,362.3
405051,120023,362.3
120023,405071,432.1
405071,120023,432.1
120023,405081,432.1
405081,120023,432.1
120023,405082,432.1
405082,120023,432.1
120023,405091,437.8
405091,120023,437.8
120023,405101,437.8
405101,120023,437.8
120023,405111,437.8
405111,120023,437.8
120023,405421,362.3
405421,120023,362.3
120023,405651,408.0
405651,120023,408.0
120023,405661,408.0
405661,120023,408.0
120023,405681,362.3
405681,120023,362.3
120023,405711,362.3
405711,120023,362.3
120023,405712,362.3
405712,120023,362.3
120023,405721,362.3
405721,120023,362.3
120023,406011,926.5
406011,120023,926.5
120023,406021,926.5
406021,120023,926.5
120023,406022,926.5
406022,120023,926.5
120023,406081,1231.4
406081,120023,1231.4
120023,406082,1231.4
406082,120023,1231.4
120023,406091,1231.4
406091,120023,1231.4
