from,to,from_code,to_code,from_type,to_type,from_dir,to_dir,distance
120022,159052,120.0,159.0,1.0,0.0,-1.0,-1.0,1924.8
159052,120022,159.0,120.0,0.0,1.0,-1.0,-1.0,1948.8
120022,159082,120.0,159.0,1.0,1.0,-1.0,0.0,1924.8
159082,120022,159.0,120.0,1.0,1.0,0.0,-1.0,1948.8
120022,159111,120.0,159.0,1.0,0.0,-1.0,1.0,1970.5
159111,120022,159.0,120.0,0.0,1.0,1.0,-1.0,1895.5
120022,159112,120.0,159.0,1.0,0.0,-1.0,1.0,1970.5
159112,120022,159.0,120.0,0.0,1.0,1.0,-1.0,1895.5
120022,159651,120.0,159.0,1.0,0.0,-1.0,-1.0,1882.8
159651,120022,159.0,120.0,0.0,1.0,-1.0,-1.0,1990.7
120022,159652,120.0,159.0,1.0,0.0,-1.0,-1.0,1882.8
159652,120022,159.0,120.0,0.0,1.0,-1.0,-1.0,1990.7
120022,159711,120.0,159.0,1.0,0.0,-1.0,1.0,1924.8
159711,120022,159.0,120.0,0.0,1.0,1.0,-1.0,1948.8
120022,159712,120.0,159.0,1.0,0.0,-1.0,1.0,1882.8
159712,120022,159.0,120.0,0.0,1.0,1.0,-1.0,1990.7
120022,159713,120.0,159.0,1.0,-1.0,-1.0,1.0,1933.9
159713,120022,159.0,120.0,-1.0,1.0,1.0,-1.0,1939.6
120022,405021,120.0,405.0,1.0,1.0,-1.0,-1.0,423.7
405021,120022,405.0,120.0,1.0,1.0,-1.0,-1.0,436.7
120022,405022,120.0,405.0,1.0,1.0,-1.0,-1.0,423.7
405022,120022,405.0,120.0,1.0,1.0,-1.0,-1.0,436.7
120022,405031,120.0,405.0,1.0,1.0,-1.0,1.0,416.1
405031,120022,405.0,120.0,1.0,1.0,1.0,-1.0,423.3
120022,405032,120.0,405.0,1.0,1.0,-1.0,1.0,416.1
405032,120022,405.0,120.0,1.0,1.0,1.0,-1.0,423.3
120022,405041,120.0,405.0,1.0,-1.0,-1.0,-1.0,362.3
405041,120022,405.0,120.0,-1.0,1.0,-1.0,-1.0,361.5
120022,405051,120.0,405.0,1.0,0.0,-1.0,-1.0,362.3
405051,120022,405.0,120.0,0.0,1.0,-1.0,-1.0,361.5
120022,405071,120.0,405.0,1.0,0.0,-1.0,1.0,432.1
405071,120022,405.0,120.0,0.0,1.0,1.0,-1.0,407.3
120022,405081,120.0,405.0,1.0,-1.0,-1.0,1.0,432.1
405081,120022,405.0,120.0,-1.0,1.0,1.0,-1.0,407.3
120022,405082,120.0,405.0,1.0,-1.0,-1.0,1.0,432.1
405082,120022,405.0,120.0,-1.0,1.0,1.0,-1.0,407.3
120022,405091,120.0,405.0,1.0,-1.0,-1.0,1.0,437.8
405091,120022,405.0,120.0,-1.0,1.0,1.0,-1.0,422.6
120022,405101,120.0,405.0,1.0,1.0,-1.0,-1.0,437.8
405101,120022,405.0,120.0,1.0,1.0,-1.0,-1.0,422.6
120022,405111,120.0,405.0,1.0,1.0,-1.0,1.0,437.8
405111,120022,405.0,120.0,1.0,1.0,1.0,-1.0,422.6
120022,405641,120.0,405.0,1.0,-1.0,-1.0,-1.0,408.0
405641,120022,405.0,120.0,-1.0,1.0,-1.0,-1.0,431.5
120022,405651,120.0,405.0,1.0,-1.0,-1.0,-1.0,408.0
405651,120022,405.0,120.0,-1.0,1.0,-1.0,-1.0,431.5
120022,405661,120.0,405.0,1.0,0.0,-1.0,-1.0,408.0
405661,120022,405.0,120.0,0.0,1.0,-1.0,-1.0,431.5
120022,405681,120.0,405.0,1.0,1.0,-1.0,0.0,362.3
405681,120022,405.0,120.0,1.0,1.0,0.0,-1.0,361.5
120022,405711,120.0,405.0,1.0,0.0,-1.0,1.0,362.3
405711,120022,405.0,120.0,0.0,1.0,1.0,-1.0,361.5
120022,405712,120.0,405.0,1.0,0.0,-1.0,1.0,362.3
405712,120022,405.0,120.0,0.0,1.0,1.0,-1.0,361.5
120022,405721,120.0,405.0,1.0,-1.0,-1.0,1.0,362.3
405721,120022,405.0,120.0,-1.0,1.0,1.0,-1.0,361.5
120022,406011,120.0,406.0,1.0,-1.0,-1.0,-1.0,926.5
406011,120022,406.0,120.0,-1.0,1.0,-1.0,-1.0,922.6
120022,406021,120.0,406.0,1.0,0.0,-1.0,-1.0,926.5
406021,120022,406.0,120.0,0.0,1.0,-1.0,-1.0,922.6
120022,406022,120.0,406.0,1.0,0.0,-1.0,-1.0,926.5
406022,120022,406.0,120.0,0.0,1.0,-1.0,-1.0,922.6
120022,406081,120.0,406.0,1.0,0.0,-1.0,1.0,1231.4
406081,120022,406.0,120.0,0.0,1.0,1.0,-1.0,1507.6
120022,406082,120.0,406.0,1.0,0.0,-1.0,1.0,1231.4
406082,120022,406.0,120.0,0.0,1.0,1.0,-1.0,1507.6
120022,406091,120.0,406.0,1.0,-1.0,-1.0,1.0,1231.4
406091,120022,406.0,120.0,-1.0,1.0,1.0,-1.0,1507.6
120022,406101,120.0,406.0,1.0,1.0,-1.0,-1.0,1262.2
406101,120022,406.0,120.0,1.0,1.0,-1.0,-1.0,947.5
120022,406121,120.0,406.0,1.0,1.0,-1.0,1.0,1262.2
406121,120022,406.0,120.0,1.0,1.0,1.0,-1.0,947.5
120022,701021,120.0,701.0,1.0,1.0,-1.0,0.0,2098.0
701021,120022,701.0,120.0,1.0,1.0,0.0,-1.0,1878.3
120022,701051,120.0,701.0,1.0,0.0,-1.0,1.0,2090.9
701051,120022,701.0,120.0,0.0,1.0,1.0,-1.0,1885.4
120022,701052,120.0,701.0,1.0,0.0,-1.0,1.0,2090.9
701052,120022,701.0,120.0,0.0,1.0,1.0,-1.0,1885.4
120022,701111,120.0,701.0,1.0,-1.0,-1.0,-1.0,2105.9
701111,120022,701.0,120.0,-1.0,1.0,-1.0,-1.0,1900.5
120022,701112,120.0,701.0,1.0,0.0,-1.0,-1.0,2105.9
701112,120022,701.0,120.0,0.0,1.0,-1.0,-1.0,1900.5
120022,701113,120.0,701.0,1.0,0.0,-1.0,-1.0,2105.9
701113,120022,701.0,120.0,0.0,1.0,-1.0,-1.0,1900.5
120022,701121,120.0,701.0,1.0,-1.0,-1.0,-1.0,2105.9
701121,120022,701.0,120.0,-1.0,1.0,-1.0,-1.0,1900.5
120022,702011,120.0,702.0,1.0,1.0,-1.0,1.0,1820.2
702011,120022,702.0,120.0,1.0,1.0,1.0,-1.0,1854.3
120022,702031,120.0,702.0,1.0,1.0,-1.0,-1.0,1820.2
702031,120022,702.0,120.0,1.0,1.0,-1.0,-1.0,1854.3
120022,702041,120.0,702.0,1.0,-1.0,-1.0,1.0,1857.8
702041,120022,702.0,120.0,-1.0,1.0,1.0,-1.0,1816.7
120022,702051,120.0,702.0,1.0,0.0,-1.0,1.0,1857.8
702051,120022,702.0,120.0,0.0,1.0,1.0,-1.0,1816.7
120022,702052,120.0,702.0,1.0,0.0,-1.0,1.0,1857.8
702052,120022,702.0,120.0,0.0,1.0,1.0,-1.0,1816.7
120022,702111,120.0,702.0,1.0,0.0,-1.0,-1.0,1839.1
702111,120022,702.0,120.0,0.0,1.0,-1.0,-1.0,1835.4
120022,702112,120.0,702.0,1.0,0.0,-1.0,-1.0,1839.1
702112,120022,702.0,120.0,0.0,1.0,-1.0,-1.0,1835.4
120022,702121,120.0,702.0,1.0,-1.0,-1.0,-1.0,1839.1
702121,120022,702.0,120.0,-1.0,1.0,-1.0,-1.0,1835.4
120022,703021,120.0,703.0,1.0,0.0,-1.0,1.0,2090.3
703021,120022,703.0,120.0,0.0,1.0,1.0,-1.0,2064.7
120022,703022,120.0,703.0,1.0,-1.0,-1.0,1.0,2090.3
703022,120022,703.0,120.0,-1.0,1.0,1.0,-1.0,2064.7
120022,703031,120.0,703.0,1.0,-1.0,-1.0,1.0,2090.3
703031,120022,703.0,120.0,-1.0,1.0,1.0,-1.0,2064.7
120022,703051,120.0,703.0,1.0,1.0,-1.0,0.0,2170.5
703051,120022,703.0,120.0,1.0,1.0,0.0,-1.0,2150.9
120022,703052,120.0,703.0,1.0,1.0,-1.0,1.0,2170.5
703052,120022,703.0,120.0,1.0,1.0,1.0,-1.0,2150.9
